Assigned Group,Number,Created Date,Close Date,Case Type,Priority,Summary,Type,Month
REFINITIV_Hosting_ServiceDesk,INC000005200853,25/12/2024 04:46,04/01/2025 20:00,User Service Restoration,3 - Medium,Monitoring Alert: 10.144.128.12 is not reachable,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005201609,26/12/2024 10:55,03/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: essg2p1slsp01b31 kernel: sfc 0000:d8:00.1 etn3: link down,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005201295,26/12/2024 12:46,03/01/2025 20:00,User Service Restoration,4 - Low,Flapping Alert: HARDWARE Event:Solarflare Adapter 216:00.0 Connectivity status changed to Link Fai,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005201799,28/12/2024 17:37,01/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18033383 - P3 Medium - Multiple Unique
Clues for the Sam",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005201800,28/12/2024 17:42,01/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18033434 - P3 Medium - Multiple Unique
Clues for the Sam",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005201456,28/12/2024 18:16,08/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202743,29/12/2024 21:33,07/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202186,29/12/2024 21:56,02/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: HARDWARE Event:Fan Failure (Fan 6, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202489,30/12/2024 02:42,07/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:Smart Storage Battery pre-failure (Battery 1). Action: 1. Consult,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202491,30/12/2024 03:06,02/01/2025 20:00,User Service Restoration,3 - Medium,Re: RTMDS - /var alerting on eslo1p3sldmm01b // [#INC-535817],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202804,30/12/2024 03:07,02/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: HARDWARE Event:Fan Failure (Fan 6, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202199,30/12/2024 03:34,02/01/2025 20:00,User Service Restoration,2 - High,"MonitoringAlert:FanFailure(Fan6,LocationSystem)hasbeenrepaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202248,30/12/2024 23:44,03/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: esnj2c2slsp04a02 cmaeventd[4919]: Physical drive failed: Port 1I Box 1 Bay 2 of Em,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202313,31/12/2024 10:22,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18060736 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202314,31/12/2024 10:22,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18060747 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202315,31/12/2024 10:32,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18060819 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202317,31/12/2024 10:42,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18060932 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202350,31/12/2024 17:27,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064037 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202351,31/12/2024 17:27,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064038 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202352,31/12/2024 17:27,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064044 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202353,31/12/2024 17:27,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064039 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202355,31/12/2024 18:17,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064437 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202356,31/12/2024 18:17,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064436 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202357,31/12/2024 18:22,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064483 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202358,31/12/2024 18:22,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064484 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202359,31/12/2024 18:22,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064494 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202360,31/12/2024 18:22,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064496 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202361,31/12/2024 18:27,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064516 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202362,31/12/2024 18:27,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064518 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202363,31/12/2024 18:32,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064539 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202364,31/12/2024 18:33,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064554 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202365,31/12/2024 18:33,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18064555 - P3 Medium - System Time
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005202374,31/12/2024 21:27,04/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18065986 - P3 Medium - New Rule
Triggered Not Seen Before",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005203629,01/01/2025 03:05,05/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005203094,01/01/2025 03:17,05/01/2025 20:00,User Service Restoration,3 - Medium,"Monitoring Alert: Fan Failure (Fan 7, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005203192,02/01/2025 02:48,05/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005203472,02/01/2025 07:53,02/01/2025 08:05,User Service Restoration,2 - High,Monitoring Alert: System Fans Not Redundant (Location System) has been repaired,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005203560,03/01/2025 00:43,09/01/2025 20:00,User Service Restoration,4 - Low,Monitoring Alert: HARDWARE Event:Smart Storage Battery pre-failure (Battery 1). Action: 1. Consult s,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005203951,03/01/2025 02:28,06/01/2025 20:00,User Service Restoration,3 - Medium,Re: RTMDS - /var alerting on server eslo1p3sldmm01b // [#INC-536337],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005203952,03/01/2025 02:37,06/01/2025 20:00,User Service Restoration,3 - Medium,Re: RTMDS - /var alerting on server eslo1p3sldmm01b // [#INC-536337],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204057,03/01/2025 21:11,06/01/2025 05:58,User Service Restoration,3 - Medium,Re: HK7 - RRCP alert on emshk7slsp02b02 at Jan 03 10:30GMT //[#INC-536409],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204067,03/01/2025 23:35,10/01/2025 20:00,User Service Restoration,3 - Medium,"Monitoring Alert: Fan Failure (Fan 7, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204278,04/01/2025 05:02,09/01/2025 20:00,User Service Restoration,4 - Low,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204288,04/01/2025 07:19,09/01/2025 20:00,User Service Restoration,3 - Medium,GATEWAYCONNECTIVITY errors for esny4p1sldp01a30 & esny4p1sldp04a30,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204301,04/01/2025 10:57,04/01/2025 10:59,User Service Restoration,3 - Medium,Monitoring Alert: prc_java = 2 | NOTIFY,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204595,04/01/2025 13:50,07/01/2025 20:00,User Service Restoration,3 - Medium,Re: RTMDS - esny4c3slsp06b02 /var high usage // [#INC-536451],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204369,05/01/2025 13:26,14/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204213,05/01/2025 13:43,14/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204372,05/01/2025 14:37,05/01/2025 14:40,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 24,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204688,05/01/2025 16:46,08/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204379,05/01/2025 17:23,09/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: Fan Failure (Fan 7, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204835,05/01/2025 19:32,06/01/2025 06:16,User Service Restoration,3 - Medium,Re: RRCP alert on emshk7slsp02b02 in HK7 // [#INC-536630],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204846,05/01/2025 20:30,15/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204391,05/01/2025 20:33,06/01/2025 05:48,Infrastructure Event,3 - Medium,Lumen MSS Initial Notification Alert - INC18123054 - P3 Medium - Authen,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204473,06/01/2025 08:32,09/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: HARDWARE Event:Fan Failure (Fan 6, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204974,06/01/2025 13:09,07/01/2025 07:44,User Service Restoration,3 - Medium,VPN Trial Password Reset - January,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204788,06/01/2025 14:36,06/01/2025 14:40,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 23,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005204802,06/01/2025 18:16,09/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: HARDWARE Event:Fan Failure (Fan 6, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005205464,07/01/2025 02:05,07/01/2025 02:28,Infrastructure Event,3 - Medium,RTMDS - /var alerting on eslo1p3sldmm01b // [#INC-536795],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005205240,07/01/2025 05:19,15/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005205115,07/01/2025 11:06,19/01/2025 20:00,User Service Restoration,3 - Medium,Re: Wells Fargo Bank congestion issue on s610651nj2sl41 and s610651nj2sl42 // [#INC-536839],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005205760,07/01/2025 19:44,12/01/2025 20:00,User Service Restoration,3 - Medium,Error detecting the RH Satellite registration method eslo1p1slsp01b31,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005205761,07/01/2025 19:46,12/01/2025 20:00,User Service Restoration,3 - Medium,Insufficient Disk Space for eslo1p3sldmm01b,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005205945,08/01/2025 12:22,08/01/2025 12:24,User Service Restoration,3 - Medium,"Monitoring Alert: High disk usage, volume /var is at 91%",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005205965,08/01/2025 14:19,11/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: prc_sp_ocap = 0,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207312,09/01/2025 04:13,12/01/2025 20:00,User Service Restoration,3 - Medium,RTMDS - /var alerting on esnj2p1slsp02b23 // [#INC-537163],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207394,09/01/2025 13:45,19/01/2025 20:00,User Service Restoration,3 - Medium,Monitoring Alert: High disk usage -  volume /data01 is at 94%,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207398,09/01/2025 14:08,13/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207399,09/01/2025 14:20,12/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System) has been repaired,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207644,09/01/2025 16:44,12/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: Fan Failure (Fan 4, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207092,09/01/2025 20:47,15/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: Fan Failure (Fan 4, Location System) has Failed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207099,09/01/2025 21:46,17/01/2025 20:00,User Service Restoration,4 - Low,Monitoring Alert: System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207122,10/01/2025 02:54,13/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207172,10/01/2025 11:19,10/01/2025 11:22,User Service Restoration,3 - Medium,"Monitoring Alert: High disk usage, volume /var is at 93%",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207765,10/01/2025 11:28,13/01/2025 20:00,User Service Restoration,3 - Medium,Re: RTMDS - /var alerting on esny4c3slsp05a02 // [#INC-537400],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207882,10/01/2025 21:20,10/01/2025 21:22,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 43,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207898,10/01/2025 23:22,10/01/2025 23:24,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 31,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207899,10/01/2025 23:23,10/01/2025 23:26,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 32,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207904,10/01/2025 23:35,10/01/2025 23:36,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 22,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005208461,10/01/2025 23:35,10/01/2025 23:38,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 25,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005208483,11/01/2025 02:25,11/01/2025 02:27,User Service Restoration,3 - Medium,Monitoring Alert: prc_ntpd = 0,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005208485,11/01/2025 02:28,11/01/2025 03:36,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:HPE Ethernet 1Gb 4-port 331i Adapter - NIC Connectivity status chan,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005207973,11/01/2025 07:20,14/01/2025 20:00,User Service Restoration,3 - Medium,GATEWAYCONNECTIVITY issues for esnj2p1sldp01a30 & esnj2p1sldp03a30,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005208000,11/01/2025 17:41,14/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18188805 - P3 Medium - Multiple Unique
Clues for the Sam",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005208032,11/01/2025 22:33,15/01/2025 20:00,User Service Restoration,4 - Low,Monitoring Alert: esnj2p1sldp03a30 SIA_HC_ERROR: Process: /usr/local/monitor/bin/scheduler : Killed,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005209087,13/01/2025 12:26,17/01/2025 20:00,User Service Restoration,3 - Medium,Uptime of BBH V/A boxes in NJ2 and CH4,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005208863,13/01/2025 14:37,13/01/2025 14:38,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 22,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005209572,14/01/2025 19:05,18/01/2025 20:00,User Service Restoration,3 - Medium,ESLO4P1SLDPP11B25 ||  Error detecting the RH Satellite registration method,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005209772,15/01/2025 00:11,21/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005210561,15/01/2025 15:31,19/01/2025 20:00,User Service Restoration,3 - Medium,Monitoring Alert: High disk usage -  volume /data01 is at 90%,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211222,16/01/2025 06:34,19/01/2025 20:00,User Service Restoration,3 - Medium,Re: NJ2 - esnj2p1slsp02b23 high usage in /Var // [#INC-538279],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211224,16/01/2025 07:04,19/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: HARDWARE Event:Fan Failure (Fan 2, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211017,16/01/2025 10:47,17/01/2025 23:53,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:trhnj2slssd113a cmaeventd[4740]: Physical drive failed: Port 1I Box,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211044,16/01/2025 13:12,19/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: Heartbeat missing since 01/16/25 16:58:33 - 133,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211062,16/01/2025 17:25,19/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: Heartbeat missing since 01/16/25 16:58:33 - 386,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211335,16/01/2025 20:35,20/01/2025 20:00,User Service Restoration,3 - Medium,High totalProcesses on trhnj2slssd113a // [#INC-538351],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211749,17/01/2025 04:31,20/01/2025 20:00,User Service Restoration,3 - Medium,/var alerting on server esny4c3slsp06b02,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211660,17/01/2025 05:06,20/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: Heartbeat missing since 01/16/25 16:58:33 - 1087,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211877,17/01/2025 17:06,20/01/2025 20:00,User Service Restoration,4 - Low,Monitoring Alert: Heartbeat missing since 01/17/25 22:58:35 - 7,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005212401,17/01/2025 21:44,17/01/2025 21:46,User Service Restoration,3 - Medium,Monitoring Alert: Microsoft-Windows-Eventlog: The event logging service encountered an error (5) whi,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211922,17/01/2025 22:06,17/01/2025 22:08,User Service Restoration,3 - Medium,Monitoring Alert: Microsoft-Windows-Eventlog: The event logging service encountered an error (5) whi,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005212405,17/01/2025 22:07,17/01/2025 22:10,User Service Restoration,3 - Medium,Monitoring Alert: Microsoft-Windows-Eventlog: The event logging service encountered an error (5) whi,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211924,17/01/2025 22:09,17/01/2025 22:11,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 296,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005211927,17/01/2025 22:23,17/01/2025 22:26,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 25,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005212237,18/01/2025 12:38,21/01/2025 20:00,User Service Restoration,3 - Medium,TRESNJ2C1SLDP01B06 - ROUTES: default via 172.29.11.5: route is missing,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005212644,18/01/2025 17:42,22/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18260539 - P3 Medium - Multiple Unique
Clues for the Sam",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005212782,19/01/2025 18:22,19/01/2025 18:26,User Service Restoration,3 - Medium,Monitoring Alert: The driver detected a controller error on \Device\Harddisk1\DR1.,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005212605,19/01/2025 23:33,23/01/2025 20:00,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 18,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005213637,21/01/2025 08:27,25/01/2025 20:00,Infrastructure Event,3 - Medium,"Lumen MSS Initial Notification Alert - INC18283657 - P3 Medium - SystemTime
Changed",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005213690,21/01/2025 11:56,24/01/2025 20:00,User Service Restoration,3 - Medium,Monitoring Alert: High disk usage -  volume /data01 is at 94%,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005213478,22/01/2025 01:51,30/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005214082,22/01/2025 14:37,22/01/2025 14:40,User Service Restoration,4 - Low,Monitoring Alert: ServerRebooted = 24,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005215114,23/01/2025 12:52,27/01/2025 20:00,User Service Restoration,3 - Medium,Re: NJ2 - esnj2p1slsp02b23 high usage in /Var // [#INC-539493],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005215330,24/01/2025 04:28,28/01/2025 20:00,User Service Restoration,3 - Medium,: RTMDS - /var alerting on esny4c3slsp06b02 // [#INC-539592],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005215367,24/01/2025 06:34,29/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005215369,24/01/2025 06:44,31/01/2025 20:00,User Service Restoration,4 - Low,Log Alert: HARDWARE Event:Internal Storage Enclosure Device Failure (Bay 1 -  Box 1 -  Port 1I -,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005215482,24/01/2025 19:37,24/01/2025 19:40,User Service Restoration,4 - Low,Monitoring Alert: Heartbeat missing since 01/25/25 01:29:27 - 7,Incident,Jan-25
