timestamp,cpu_percent,cpu_frequency,memory_percent,memory_available_gb,disk_read_mb,disk_write_mb,network_sent_mb,network_recv_mb,,
29:10.5,11.7,1700,45.3,8.56,61.11,0,0.01,0.01,,
29:10.5,11.7,1700,45.3,8.56,61.11,0,0.01,0.01,,
29:12.8,17.9,1700,45.1,8.59,56.57,0,0,0.01,,
29:12.8,17.9,1700,45.1,8.59,56.57,0,0,0.01,,
29:12.8,17.9,1700,45.1,8.59,56.57,0,0,0.01,,
29:15.0,9.9,1700,44.9,8.62,24.57,0.61,0,0.01,,
29:15.0,9.9,1700,44.9,8.62,24.57,0.61,0,0.01,,
29:17.3,11.5,1700,44.7,8.65,6.73,1.82,0,0.01,,
29:17.3,11.5,1700,44.7,8.65,6.73,1.82,0,0.01,,
29:19.5,15.2,1700,44.2,8.72,2.21,0,0.03,0.01,,
29:19.5,15.2,1700,44.2,8.72,2.21,0,0.03,0.01,,
29:21.7,15.2,1700,43.3,8.87,9.12,74.22,0,0,,
29:21.7,15.2,1700,43.3,8.87,9.12,74.22,0,0,,
29:24.0,11.5,1700,41,9.23,29.45,0.01,0,0,,
29:24.0,11.5,1700,41,9.23,29.45,0.01,0,0,,
29:26.2,2.7,1700,41.2,9.2,14.17,0,0.01,0,,
29:26.2,2.7,1700,41.2,9.2,14.17,0,0.01,0,,
29:28.5,9.9,1700,41.3,9.18,2.44,0.26,0,0,,
29:28.5,9.9,1700,41.3,9.18,2.44,0.26,0,0,,
29:30.7,0,1700,41.5,9.15,0.35,0.35,0,0,,
29:30.7,0,1700,41.5,9.15,0.35,0.35,0,0,,
29:33.0,3.7,1700,41.5,9.15,4.19,0.24,0,0,,
29:33.0,3.7,1700,41.5,9.15,4.19,0.24,0,0,,
29:35.2,15.3,1700,41.6,9.13,0.42,0.37,0,0,,
29:35.2,15.3,1700,41.6,9.13,0.42,0.37,0,0,,
29:35.2,15.3,1700,41.6,9.13,0.42,0.37,0,0,,
29:37.5,35.3,1700,55.2,7.01,3.39,0,0,0,,
29:37.5,35.3,1700,55.2,7.01,3.39,0,0,0,,
29:39.7,19.2,1700,71.2,4.5,3.66,0.81,0,0,,
29:39.7,19.2,1700,71.2,4.5,3.66,0.81,0,0,,
29:41.9,32.9,1700,81,2.97,2.28,124.97,0,0,,
29:41.9,32.9,1700,81,2.97,2.28,124.97,0,0,,
29:44.1,16.2,1700,90.1,1.54,6.6,0.21,0,0,,
29:44.1,16.2,1700,90.1,1.54,6.6,0.21,0,0,,
29:46.3,23,1700,100,0,10.79,0,0,0,,
29:46.3,23,1700,100,0,10.79,0,0,0,,
29:48.5,71.6,1700,99.4,0.1,61.73,1.23,0,0,,
29:48.5,71.6,1700,99.4,0.1,61.73,1.23,0,0,,
29:50.8,29.6,1700,81.7,2.86,68.97,0,0,0,,
29:50.8,29.6,1700,81.7,2.86,68.97,0,0,0,,
29:53.0,30.3,1700,64.3,5.59,3.32,0.19,0,0,,
29:53.0,30.3,1700,64.3,5.59,3.32,0.19,0,0,,
29:55.2,22.4,1700,79.1,3.27,122.54,3.02,0,0,,
29:55.2,22.4,1700,79.1,3.27,122.54,3.02,0,0,,
29:57.4,15.5,1700,89.8,1.6,7.77,0,0,0,,
29:57.4,15.5,1700,89.8,1.6,7.77,0,0,0,,
29:59.6,22.5,1700,97.8,0.34,2.31,0.22,0,0,,
29:59.6,22.5,1700,97.8,0.34,2.31,0.22,0,0,,
29:59.6,22.5,1700,97.8,0.34,2.31,0.22,0,0,,
30:01.9,45.7,1700,100,0.01,74.77,0.41,0.01,0,,
30:01.9,45.7,1700,100,0.01,74.77,0.41,0.01,0,,
30:04.3,37.7,1700,98.2,0.28,225.93,0.75,0,0,,
30:04.3,37.7,1700,98.2,0.28,225.93,0.75,0,0,,
30:06.6,37,1700,100,0,97.63,17.31,0,0,,
30:06.6,37,1700,100,0,97.63,17.31,0,0,,
30:08.9,17.5,1700,99.9,0.01,76.94,0.28,0,0,,
30:08.9,17.5,1700,99.9,0.01,76.94,0.28,0,0,,
30:11.2,17.9,1700,59.6,6.32,87.15,0.02,0,0,,
30:11.2,17.9,1700,59.6,6.32,87.15,0.02,0,0,,
30:13.4,20.7,1700,53.3,7.31,23.2,0,0,0,,
30:13.4,20.7,1700,53.3,7.31,23.2,0,0,0,,
30:15.6,6.5,1700,40.5,9.31,26.76,0,0,0,,
30:15.6,6.5,1700,40.5,9.31,26.76,0,0,0,,
30:17.9,9.5,1700,40.8,9.26,12.55,0.17,0,0,,
30:17.9,9.5,1700,40.8,9.26,12.55,0.17,0,0,,
30:20.1,16.5,1700,41.3,9.18,8.75,0,0,0,,
30:20.1,16.5,1700,41.3,9.18,8.75,0,0,0,,
30:22.4,9.6,1700,41.5,9.16,4.95,0.12,0,0,,
30:22.4,9.6,1700,41.5,9.16,4.95,0.12,0,0,,
30:24.7,20.5,1700,41.7,9.12,13.33,0.34,0,0,,
30:24.7,20.5,1700,41.7,9.12,13.33,0.34,0,0,,
30:26.9,6.3,1700,41.8,9.1,1.25,0,0,0,,
30:26.9,6.3,1700,41.8,9.1,1.25,0,0,0,,
30:26.9,6.3,1700,41.8,9.1,1.25,0,0,0,,
30:29.2,10.8,1700,41.8,9.1,5.01,0.41,0,0,,
30:29.2,10.8,1700,41.8,9.1,5.01,0.41,0,0,,
30:31.5,7.3,1700,41.7,9.12,9.66,1.02,0,0,,
30:31.5,7.3,1700,41.7,9.12,9.66,1.02,0,0,,
30:33.7,2.8,1700,41.6,9.13,1.11,0,0,0,,
30:33.7,2.8,1700,41.6,9.13,1.11,0,0,0,,
30:36.0,1.3,1700,41.5,9.15,6.39,0,0,0,,
30:36.0,1.3,1700,41.5,9.15,6.39,0,0,0,,
30:38.2,4,1700,41.1,9.22,3.4,1.72,0,0,,
30:38.2,4,1700,41.1,9.22,3.4,1.72,0,0,,
30:40.5,5.3,1700,40.7,9.27,7.93,28.12,0,0,,
30:40.5,5.3,1700,40.7,9.27,7.93,28.12,0,0,,
30:42.7,13.1,1700,40.1,9.37,26.78,0.42,0,0,,
30:42.7,13.1,1700,40.1,9.37,26.78,0.42,0,0,,
30:45.0,8.3,1700,39.5,9.46,3.59,0,0,0,,
30:45.0,8.3,1700,39.5,9.46,3.59,0,0,0,,
30:47.2,4.2,1700,38.6,9.61,12.75,20.55,0,0,,
30:47.2,4.2,1700,38.6,9.61,12.75,20.55,0,0,,
30:47.2,4.2,1700,38.6,9.61,12.75,20.55,0,0,,
30:49.5,4.8,1700,38.8,9.58,14.99,0.8,0.01,0.01,,
30:49.5,4.8,1700,38.8,9.58,14.99,0.8,0.01,0.01,,
30:51.7,7.9,1700,39.2,9.51,26.52,0.06,0,0,,
30:51.7,7.9,1700,39.2,9.51,26.52,0.06,0,0,,
30:53.9,16.5,1700,39.7,9.43,19.62,0,0.01,0.04,,
30:53.9,16.5,1700,39.7,9.43,19.62,0,0.01,0.04,,
30:56.2,1.4,1700,39.9,9.4,1.55,0.3,0,0,,
30:56.2,1.4,1700,39.9,9.4,1.55,0.3,0,0,,
30:58.4,1.4,1700,40.1,9.37,1.66,0,0,0.03,,
30:58.4,1.4,1700,40.1,9.37,1.66,0,0,0.03,,
31:00.7,6,1700,40.2,9.36,3.14,0,0,0,,
31:00.7,6,1700,40.2,9.36,3.14,0,0,0,,
31:02.9,5,1700,40.5,9.31,75.64,0.09,0,0,,
31:02.9,5,1700,40.5,9.31,75.64,0.09,0,0,,
31:05.2,0,1700,40.9,9.25,0.52,0,0,0,,
31:05.2,0,1700,40.9,9.25,0.52,0,0,0,,
31:07.5,1.4,1700,40.9,9.24,24.99,0,0,0,,
31:07.5,1.4,1700,40.9,9.24,24.99,0,0,0,,
31:09.7,5.3,1700,41.2,9.2,63.91,0.23,0.01,0,,
31:09.7,5.3,1700,41.2,9.2,63.91,0.23,0.01,0,,
31:09.7,5.3,1700,41.2,9.2,63.91,0.23,0.01,0,,
31:11.9,2.4,1700,41.5,9.15,24.85,0.09,0,0,,
31:11.9,2.4,1700,41.5,9.15,24.85,0.09,0,0,,
31:14.2,3.9,1700,41.7,9.11,5.74,0,0,0,,
31:14.2,3.9,1700,41.7,9.11,5.74,0,0,0,,
31:16.5,7.2,1700,42.9,8.93,11.33,0.28,0.01,0.02,,
31:39.2,26.2,1700,50.9,7.68,26.46,0.07,0,0,,
31:41.4,7.4,1700,51,7.67,12.7,0.17,0,0,,
31:43.6,7.6,1700,50.4,7.76,5.2,0.64,0,0,,
31:45.9,2.7,1700,49.5,7.9,14.99,0.2,0,0,,
31:48.2,5.9,1700,49.3,7.92,13.12,0.34,0,0,,
31:50.4,0,1700,49.5,7.9,1.23,0,0,0,,
31:52.6,8,1700,49.5,7.9,0.79,0,0,0,,
31:54.9,11.5,1700,49.6,7.88,2.2,0.55,0,0,,
31:57.1,11.2,1700,49.6,7.89,0.07,0,0,0,,
31:59.3,10,1700,49.5,7.9,1.2,0,0.02,0.01,,
32:01.6,2.6,1700,49.9,7.83,6.28,0.63,0,0,,
32:03.9,20,1700,50,7.82,0.44,0,0,0,,
32:06.1,2.5,1700,50.1,7.8,1.56,0.17,0,0,,
32:08.3,5.4,1700,50.1,7.8,1.46,1.3,0,0.01,,
32:10.5,2.7,1700,49.9,7.83,0.26,3.06,0,0,,
32:12.8,4.8,1700,49.9,7.84,1,0,0,0,,
32:15.0,4.1,1700,49.6,7.88,1.01,0.7,0,0.01,,
32:17.3,9.2,1700,50.1,7.81,1.57,0.97,0.01,0,,
32:19.5,0,1700,50.4,7.76,0.14,0.09,0,0,,
32:21.7,5.6,1700,50.4,7.76,0.28,0.07,0,0,,
32:23.9,0,1700,50.4,7.76,1.37,0.23,0,0,,
32:26.1,5.1,1700,50.5,7.75,0.92,0.86,0.01,0.13,,
32:28.3,43,1700,50.7,7.71,0.77,0.13,0,0,,
32:30.6,13.2,1700,50.7,7.71,0.44,0,0,0,,
32:32.8,9.1,1700,50.8,7.69,0.52,0.57,0,0,,
32:35.0,0,1700,50.8,7.69,2.15,0.01,0,0,,
32:37.3,0,1700,50.5,7.75,0.05,0,0,0,,
32:37.3,0,1700,50.5,7.75,0.05,0,0,0,,
32:39.5,1.1,1700,50.5,7.75,0.39,0.24,0,0,,
32:39.5,1.1,1700,50.5,7.75,0.39,0.24,0,0,,
32:41.7,8.3,1700,50.5,7.74,0.05,0,0,0,,
32:41.7,8.3,1700,50.5,7.74,0.05,0,0,0,,
32:43.9,0,1700,50.5,7.75,1.01,0.43,0,0,,
32:43.9,0,1700,50.5,7.75,1.01,0.43,0,0,,
32:46.2,7.2,1700,50.4,7.75,43.38,0,0.01,0.02,,
32:46.2,7.2,1700,50.4,7.75,43.38,0,0.01,0.02,,
32:46.2,7.2,1700,50.4,7.75,43.38,0,0.01,0.02,,
32:48.4,17.8,1700,51,7.66,16.1,0.2,0,0,,
32:48.4,17.8,1700,51,7.66,16.1,0.2,0,0,,
32:50.7,4.7,1700,51.5,7.59,9.93,0.82,0.03,0.01,,
32:50.7,4.7,1700,51.5,7.59,9.93,0.82,0.03,0.01,,
32:52.9,3.8,1700,52,7.5,4.54,0,0,0,,
32:52.9,3.8,1700,52,7.5,4.54,0,0,0,,
32:55.2,6.3,1700,52.5,7.43,20.11,0.03,0,0,,
32:55.2,6.3,1700,52.5,7.43,20.11,0.03,0,0,,
32:57.4,12.3,1700,54.8,7.07,11.89,0.62,0,0,,
32:57.4,12.3,1700,54.8,7.07,11.89,0.62,0,0,,
32:59.6,12.7,1700,55,7.04,5.76,0,0,0,,
32:59.6,12.7,1700,55,7.04,5.76,0,0,0,,
33:01.8,24,1700,54.9,7.05,1.55,0,0,0,,
33:01.8,24,1700,54.9,7.05,1.55,0,0,0,,
33:04.1,4.4,1700,55.2,7,25.94,0.88,0,0,,
33:04.1,4.4,1700,55.2,7,25.94,0.88,0,0,,
33:06.3,0,1700,56,6.88,17.49,0,0.01,0.01,,
33:06.3,0,1700,56,6.88,17.49,0,0.01,0.01,,
33:08.6,4.1,1700,59.1,6.4,9.55,1.13,0,0,,
33:08.6,4.1,1700,59.1,6.4,9.55,1.13,0,0,,
33:08.6,4.1,1700,59.1,6.4,9.55,1.13,0,0,,
33:10.8,16.5,1700,58.6,6.47,8.21,0.8,0,0,,
33:10.8,16.5,1700,58.6,6.47,8.21,0.8,0,0,,
33:13.0,0,1700,58.5,6.49,0.15,0,0,0,,
33:13.0,0,1700,58.5,6.49,0.15,0,0,0,,
33:15.3,0,1700,58.5,6.49,0.11,0.25,0,0,,
33:15.3,0,1700,58.5,6.49,0.11,0.25,0,0,,
33:17.5,6.8,1700,58.5,6.49,0.62,0.11,0,0,,
33:17.5,6.8,1700,58.5,6.49,0.62,0.11,0,0,,
33:19.7,6.1,1700,58.5,6.49,0.16,0,0,0,,
33:19.7,6.1,1700,58.5,6.49,0.16,0,0,0,,
33:21.9,9.5,1700,58.5,6.5,12,0.26,0,0,,
33:21.9,9.5,1700,58.5,6.5,12,0.26,0,0,,
33:24.2,4.3,1700,58.5,6.49,0.62,0,0,0,,
33:24.2,4.3,1700,58.5,6.49,0.62,0,0,0,,
33:26.4,0,1700,58.4,6.5,0.27,0,0,0,,
33:26.4,0,1700,58.4,6.5,0.27,0,0,0,,
33:28.6,0,1700,58.4,6.51,2.67,0.38,0,0,,
33:28.6,0,1700,58.4,6.51,2.67,0.38,0,0,,
33:30.9,5.3,1700,58.6,6.48,0.18,0,0,0,,
33:30.9,5.3,1700,58.6,6.48,0.18,0,0,0,,
33:30.9,5.3,1700,58.6,6.48,0.18,0,0,0,,
33:33.1,10.5,1700,58.8,6.44,0.55,0.33,0,0,,
33:33.1,10.5,1700,58.8,6.44,0.55,0.33,0,0,,
33:35.4,2.6,1700,59.2,6.39,0.38,0,0.01,0.02,,
33:35.4,2.6,1700,59.2,6.39,0.38,0,0.01,0.02,,
33:37.6,3.9,1700,59,6.42,0.49,0,0,0,,
33:37.6,3.9,1700,59,6.42,0.49,0,0,0,,
33:39.8,1.2,1700,59,6.42,0.45,0.59,0,0,,
33:39.8,1.2,1700,59,6.42,0.45,0.59,0,0,,
33:42.1,1.2,1700,59,6.42,0.25,1,0,0,,
33:42.1,1.2,1700,59,6.42,0.25,1,0,0,,
33:44.3,1.2,1700,59,6.42,0.05,0.01,0,0,,
33:44.3,1.2,1700,59,6.42,0.05,0.01,0,0,,
33:46.5,2.6,1700,58.8,6.44,0.17,0.07,0,0,,
33:46.5,2.6,1700,58.8,6.44,0.17,0.07,0,0,,
33:48.8,4.7,1700,58.8,6.44,5.49,0,0,0,,
33:48.8,4.7,1700,58.8,6.44,5.49,0,0,0,,
33:51.0,11,1700,59,6.42,2.96,0.16,0,0,,
33:51.0,11,1700,59,6.42,2.96,0.16,0,0,,
33:53.3,10.4,1700,59.1,6.4,0.94,1.38,0,0,,
33:53.3,10.4,1700,59.1,6.4,0.94,1.38,0,0,,
33:55.5,3.9,1700,59,6.41,0.2,0.2,0,0,,
33:55.5,3.9,1700,59,6.41,0.2,0.2,0,0,,
33:55.5,3.9,1700,59,6.41,0.2,0.2,0,0,,
33:57.7,1.2,1700,59,6.41,0.16,0,0,0,,
33:57.7,1.2,1700,59,6.41,0.16,0,0,0,,
34:00.0,0,1700,59,6.41,0.38,0.79,0,0,,
34:00.0,0,1700,59,6.41,0.38,0.79,0,0,,
34:02.2,0,1700,59,6.41,2.59,0,0.01,0,,
34:02.2,0,1700,59,6.41,2.59,0,0.01,0,,
34:04.4,0,1700,59.2,6.39,6.62,0.59,0,0,,
34:04.4,0,1700,59.2,6.39,6.62,0.59,0,0,,
34:06.7,0,1700,59.4,6.36,0.78,0,0,0,,
34:06.7,0,1700,59.4,6.36,0.78,0,0,0,,
34:08.9,26.2,1700,59.5,6.33,0.97,0,0,0,,
34:08.9,26.2,1700,59.5,6.33,0.97,0,0,0,,
34:11.2,3.8,1700,59.6,6.32,1.57,0.13,0,0.02,,
34:11.2,3.8,1700,59.6,6.32,1.57,0.13,0,0.02,,
34:13.4,8.5,1700,59.7,6.3,0.31,0.17,0,0,,
34:13.4,8.5,1700,59.7,6.3,0.31,0.17,0,0,,
34:15.7,3.9,1700,59.5,6.33,0.35,0,0,0,,
34:15.7,3.9,1700,59.5,6.33,0.35,0,0,0,,
34:17.9,2.7,1700,59.7,6.3,0.3,0.41,0,0,,
34:17.9,2.7,1700,59.7,6.3,0.3,0.41,0,0,,
34:17.9,2.7,1700,59.7,6.3,0.3,0.41,0,0,,
34:20.2,5.6,1700,59.8,6.28,0.13,0.16,0,0,,
34:20.2,5.6,1700,59.8,6.28,0.13,0.16,0,0,,
34:22.4,4.2,1700,59.9,6.28,0.12,0,0,0,,
34:22.4,4.2,1700,59.9,6.28,0.12,0,0,0,,
34:24.7,4.3,1700,59.8,6.28,0.45,0.2,0,0,,
34:24.7,4.3,1700,59.8,6.28,0.45,0.2,0,0,,
34:26.9,3.5,1700,60.1,6.25,0.7,0.19,0,0,,
34:26.9,3.5,1700,60.1,6.25,0.7,0.19,0,0,,
34:29.2,4.8,1700,60.1,6.25,0.29,0,0,0,,
34:29.2,4.8,1700,60.1,6.25,0.29,0,0,0,,
34:31.4,16.4,1700,59.9,6.27,0.13,0.29,0,0,,
34:31.4,16.4,1700,59.9,6.27,0.13,0.29,0,0,,
34:33.7,10.5,1700,59.6,6.31,0.16,0,0,0,,
34:33.7,10.5,1700,59.6,6.31,0.16,0,0,0,,
34:35.9,16.9,1700,59.6,6.32,0.37,0.05,0,0,,
34:35.9,16.9,1700,59.6,6.32,0.37,0.05,0,0,,
34:38.1,14.1,1700,59.5,6.34,0.3,0.39,0,0,,
34:38.1,14.1,1700,59.5,6.34,0.3,0.39,0,0,,
34:40.4,10.8,1700,59.3,6.37,0.33,0,0,0,,
34:40.4,10.8,1700,59.3,6.37,0.33,0,0,0,,
34:40.4,10.8,1700,59.3,6.37,0.33,0,0,0,,
34:42.6,13.3,1457,59.3,6.36,0.1,0.24,0,0,,
34:42.6,13.3,1457,59.3,6.36,0.1,0.24,0,0,,
34:44.9,15.2,1700,59.2,6.37,2.85,0,0,0,,
34:44.9,15.2,1700,59.2,6.37,2.85,0,0,0,,
34:47.2,9.3,1700,59.2,6.37,0.18,0.87,0,0,,
34:47.2,9.3,1700,59.2,6.37,0.18,0.87,0,0,,
34:49.4,0,1700,59.2,6.38,0.06,0.3,0.01,0,,
34:49.4,0,1700,59.2,6.38,0.06,0.3,0.01,0,,
34:51.6,1.4,1700,59.3,6.36,0.35,0,0.11,0.01,,
34:51.6,1.4,1700,59.3,6.36,0.35,0,0.11,0.01,,
34:53.9,1.4,1700,59.3,6.36,0.28,0,0,0,,
34:53.9,1.4,1700,59.3,6.36,0.28,0,0,0,,
34:56.1,4.9,1700,59.3,6.36,0.18,0.47,0,0,,
34:56.1,4.9,1700,59.3,6.36,0.18,0.47,0,0,,
34:58.3,1.4,1700,59.3,6.36,0.11,0,0,0,,
34:58.3,1.4,1700,59.3,6.36,0.11,0,0,0,,
35:00.6,0,1700,59.4,6.35,0.2,0,0,0,,
35:00.6,0,1700,59.4,6.35,0.2,0,0,0,,
35:00.6,0,1700,59.4,6.35,0.2,0,0,0,,
35:02.8,3.9,1700,59.3,6.36,0.13,0.16,0,0,,
35:02.8,3.9,1700,59.3,6.36,0.13,0.16,0,0,,
35:05.0,3.8,1700,59.3,6.36,0.52,0,0,0,,
35:05.0,3.8,1700,59.3,6.36,0.52,0,0,0,,
35:07.3,0,1700,59.4,6.36,0.55,0,0,0,,
35:07.3,0,1700,59.4,6.36,0.55,0,0,0,,
35:09.6,23,1700,59.8,6.28,0.6,0.41,0.01,0.02,,
37:29.4,18.2,1700,60.5,6.18,0.45,0.08,0,0,,
37:31.7,5.3,1700,60.8,6.14,2.22,0.59,0,0,,
37:33.9,9.7,1700,60.9,6.11,0.31,0,0,0,,
37:36.1,9,1700,60.9,6.12,0.54,0.16,0,0,,
37:38.3,10.9,1700,59.7,6.31,3.14,0.84,0,0,,
37:40.6,14.5,1700,60.1,6.25,5.1,0.23,0,0,,
37:42.8,4.1,1700,60,6.26,1.07,0.03,0,0,,
37:45.0,25.6,1700,59.9,6.27,0.51,0.37,0,0,,
37:47.3,10.5,1700,60,6.26,0.69,0.88,0,0,,
37:49.6,21.8,1700,60.1,6.24,0.28,0,0,0,,
37:51.8,5.3,1700,59.9,6.27,0.53,0.36,0,0,,
37:54.0,14.9,1700,59.8,6.3,44.67,0,0,0,,
37:56.2,10.5,1700,60.4,6.2,45.13,0.49,0,0,,
37:58.4,10.8,1700,61.2,6.08,46.85,0.26,0,0,,
38:00.7,6.6,1700,61.3,6.05,0.05,0,0,0,,
38:02.9,7.6,1700,61.3,6.06,0.05,0.2,0,0,,
38:05.1,5.9,1700,61.2,6.06,0.08,0,0,0,,
38:07.3,12.5,1700,61.3,6.06,0.33,0,0,0,,
38:09.6,6.2,1700,61.1,6.08,0.39,0.78,0,0,,
38:11.8,2.8,1700,61.1,6.08,0.33,2.49,0,0,,
38:14.0,6.5,1700,61.1,6.09,3.56,4.04,0,0,,
38:16.4,5.1,1700,61.1,6.08,6.08,0.37,0,0,,
38:18.6,6.2,1700,58.4,6.51,0.4,0,0,0,,
38:20.8,9.5,1700,58.3,6.52,0.06,0,0,0,,
38:23.1,1.3,1700,58.3,6.52,0.24,0.52,0,0,,
38:25.3,5.4,1700,58.3,6.52,0.05,0,0,0,,
38:27.5,6.3,1700,58,6.57,0.23,0.53,0,0,,
41:34.7,16.1,1700,61,6.11,3.06,0.14,0,0,,
41:36.9,2.3,1700,61,6.1,0.19,0.32,0.01,0,,
41:39.1,3.6,1700,60.9,6.12,0.09,0,0.01,0,,
41:41.3,10,1700,61.3,6.06,0.11,0,0,0,,
41:43.4,1.4,1700,61.4,6.03,0.34,0.85,0,0,,
41:45.7,6.9,1700,61.4,6.03,0.29,0.16,0,0,,
41:48.0,7.3,1700,61.5,6.03,0.51,0.93,0,0,,
41:50.2,0,1700,61.5,6.02,0.18,0.23,0,0,,
41:52.4,2.7,1700,61.8,5.98,0.25,0.07,0,0,,
41:54.5,8.2,1700,61.6,6.01,2.98,10.02,0,0,,
41:56.7,5.3,1700,61.5,6.02,0.07,0,0,0,,
41:58.9,0,1700,61.3,6.06,0.16,0,0,0,,
42:01.1,22.1,1700,61.3,6.06,0.56,1.32,0,0,,
42:03.2,8,1700,61.3,6.05,0.23,0.07,0,0,,
42:05.4,5.4,1700,61.4,6.04,0.48,1.12,0,0,,
42:07.6,6.8,1700,61.4,6.04,0.2,0,0,0,,
42:09.8,1.4,1700,61.4,6.04,0.11,0,0,0,,
42:11.9,6.7,1700,61.1,6.08,0.09,0,0,0,,
42:14.1,5.8,1700,61,6.1,0.15,0.3,0,0,,
42:16.3,4.1,1457,61.1,6.09,0.06,3.22,0,0,,
42:18.4,1.2,1700,61.1,6.09,0.07,0,0,0,,
42:20.6,14.1,1700,61,6.1,0.18,0.66,0,0,,
42:22.7,3.5,1700,61,6.1,0.12,0.06,0,0,,
42:24.9,6.1,1700,61.2,6.07,0.09,0.06,0,0,,
42:27.1,2.5,1700,61.2,6.07,0.55,1.78,0.01,0.05,,
42:29.3,2.7,1700,61.4,6.03,0.43,0.25,0,0,,
42:31.4,12.8,1700,61.4,6.04,0.25,0.65,0,0,,
42:33.6,6.8,1700,61.4,6.03,0.27,0.34,0,0,,
42:33.6,6.8,1700,61.4,6.03,0.27,0.34,0,0,,
42:33.6,6.8,1700,61.4,6.03,0.27,0.34,0,0,,
42:35.8,11.4,1700,61.4,6.04,0.13,0,0,0,,
42:35.8,11.4,1700,61.4,6.04,0.13,0,0,0,,
42:38.0,11.8,1700,61.2,6.06,0.62,0.7,0,0,,
42:38.0,11.8,1700,61.2,6.06,0.62,0.7,0,0,,
42:40.1,2.6,1700,61.4,6.03,0.1,0.27,0,0,,
42:40.1,2.6,1700,61.4,6.03,0.1,0.27,0,0,,
42:42.3,0,1700,61.4,6.04,0.85,1.41,0,0,,
42:42.3,0,1700,61.4,6.04,0.85,1.41,0,0,,
42:44.5,2.5,1700,61.2,6.07,0.23,0,0,0,,
42:44.5,2.5,1700,61.2,6.07,0.23,0,0,0,,
42:46.6,16,1700,61.1,6.08,0.34,3.56,0,0,,
